,Clouds,Database,Infra and Operations,Kubernetes,Logs,Services,Tracing
Raw Metadata Keys as JSON,"{""No Category"": [""accessible_by"",""arn"",""customIconPath"",""dt.security_context"",""dt.system.environment"",""entity.name"",""id"",""managementZones"",""tags""]}","""None""","{""No Category"": [""Additional system info"",""AMI ID"",""Architecture"",""ARN"",""autoInjection"",""AWS name tag"",""BOSH availability zone"",""BOSH deployment ID"",""BOSH instance ID"",""BOSH instance name"",""BOSH stemcell version"",""boshName"",""called_by"",""calls"",""Cloud"",""Cloud Foundry foundation"",""Data center"",""Detected name"",""dt.entity.host"",""dt.security_context"",""ebrpDiscoveryMonitored"",""Host group"",""Host group name"",""Hypervisor type"",""Instance ID"",""Instance type"",""IP addresses"",""Logical CPU cores"",""macAddresses"",""Management zones"",""Monitoring type"",""OneAgent version"",""OS version"",""Physical CPU cores"",""Physical memory"",""Private hostname"",""Private IP address"",""Security groups"",""Technologies"",""Up since""]}","{""No Category"": [""ActiveGate ID"",""ActiveGate version"",""Annotations"",""Cluster"",""Conditions"",""Containers"",""CPU Requests"",""Created"",""DynaKube modes"",""External resource UID"",""Kubernetes cluster ID"",""Kubernetes distribution"",""Kubernetes version"",""Labels"",""Name"",""Namespace"",""Operator version"",""Security context"",""Total container restarts"",""Workload"",""Workload Type""]}","{""Fields"": [""azure.location"",""content"",""dt.entity.container_group"",""dt.entity.process_group"",""dt.kubernetes.cluster.name"",""dt.kubernetes.node.system_uuid"",""host.name"",""http.flavor"",""http.method"",""http.status_code"",""k8s.cluster.name"",""k8s.container.name"",""k8s.deployment.name"",""k8s.namespace.name"",""k8s.pod.name"",""log.source"",""loglevel"",""OperatorVersion"",""process.technology"",""source.host"",""status"",""timestamp""],""Topology"": [""dt.entity.cloud_application"",""dt.entity.cloud_application_instance"",""dt.entity.cloud_application_namespace"",""dt.entity.container_group_instance"",""dt.entity.host"",""dt.entity.kubernetes_cluster"",""dt.entity.kubernetes_node"",""dt.entity.process_group_instance"",""dt.source_entity""]}","{""No Category"": [""Agent technology type"",""Application build environment"",""Application name"",""Application release version"",""Context root"",""Is external service"",""Kubernetes cluster"",""Kubernetes namespace"",""Kubernetes namespace labels"",""Kubernetes workload"",""Kubernetes workload labels"",""Last seen"",""Management zones"",""Process group"",""Security context"",""Service ID"",""Service type"",""Software technology types"",""Technologies"",""Web application id"",""Web server name""]}","{""apache"": [""Apache tomcat base""],""client"": [""Client ip""],""Code attributes"": [""Code function"",""Code namespace"",""CPU self time"",""CPU time"",""Span is subroutine"",""Thread id"",""Thread name""],""Core"": [""Duration"",""End time"",""Endpoint"",""Host"",""Process"",""Process group"",""Request is failed"",""Request is root span"",""Service"",""Span kind"",""Span name"",""Start time""],""Deployment information"": [""Deployment release build version"",""Deployment release product"",""Deployment release stage"",""Deployment release version""],""Entity IDs"": [""Gcp zone id"",""Host group id"",""Host id"",""Service id""],""full"": [""OneAgent module version""],""gcp"": [""Gcp instance id"",""Gcp project id"",""Gcp region"",""Gcp zone""],""Host"": [""Host group"",""Host name internal""],""HTTP"": [""HTTP method"",""HTTP route"",""HTTP server name"",""HTTP status"",""Url path""],""HTTP headers"": [""HTTP request header host"",""HTTP request header referer"",""HTTP request header user-agent"",""HTTP response header content-type""],""IDs"": [""Span id"",""Span parent id"",""Subtrace id"",""Trace id""],""java"": [""Java jar file"",""Java jar path""],""Metadata"": [""Cost costcenter"",""Cost product"",""Ingest size"",""OneAgent module id"",""OneAgent module type"",""OneAgent module version"",""Openpipeline pipelines"",""Openpipeline source"",""Retain size"",""Supportability atm sampling ratio"",""System monitoring source""],""Networking"": [""Network protocol name"",""Server address"",""Server port""],""Process"": [""Process executable name"",""Process executable path"",""Process group id"",""Process id"",""Process pid""],""Request attributes"": [""Request attribute ClientIP"",""Request attribute SourceIP""],""servlet"": [""Servlet context name"",""Servlet context path""],""subtrace"": [""Subtrace is root span""]}"
Raw Facet Keys as JSON,"{""AWS"": {""Availability zone"": [""regional""]},""AWS"": {""AWS Account"": [""908047316593""]},""Core"": {""Alert type"": [""Critical"",""No alerts""]},""Core"": {""Environment"": [""908047316593""]},""Core"": {""Global region"": [""APAC"",""EMEA"",""global"",""LATAM"",""NORAM""]},""Core"": {""Region"": [""us-east-1""]},""Core"": {""Tag"": [""ACE\\\\CREA...ynatrace.com"",""ACE\\\\CREA...ynatrace.com"",""aws:cloudformation:stack-id"",""aws\\\\cloud...e:balcer-test"",""aws\\\\cloud...id:ECSCluster""]},""ECS"": [""Amazon Elast...""]}","{""Core"": [""no keys found""],""Core"": {""Active health alert"": [""MySQL Instance is unreachable"",""Oracle - High tablespace usage"",""Oracle - Instance unavailable"",""Postgres Instance is unreachable"",""SQL Server is unreachable""]},""Core"": {""Alert status"": [""Critical"",""No alerts""]},""Core"": {""Closed custom alert"": [""no keys found""]},""Core"": {""Closed health alert"": [""MySQL Instance is unreachable"",""Oracle - High tablespace usage"",""Oracle - Instance unavailable"",""Postgres Instance is unreachable"",""SQL Server is unreachable""]},""Other"": {""Status"": [""Available"",""Error"",""Warning""]},""Other"": {""Vendor"": [""HanaDB"",""MSSQL"",""MySQL"",""Oracle"",""PostgreSQL""]}}","{""Alert status"": [""Critical"",""No alerts""],""Cloud"": [""AWS"",""Azure"",""Google Cloud Platform"",""OpenStack"",""Oracle""],""Hypervisor"": [""AIX LPAR"",""AIX WPAR"",""AWS Nitro"",""VMware"",""Xen""],""Monitoring type"": [""App only"",""Discovery"",""Full stack"",""Infrastructure"",""Monitoring candidate"",""Monitoring disabled""],""OS type"": [""AIX"",""Linux"",""Windows"",""z/OS""]}","""None""","{""AWS"": [""aws.account.id"",""aws.arn"",""aws.log_group"",""aws.region"",""aws.resource.id"",""aws.service""],""Azure"": [""azure.location"",""azure.resource.group"",""azure.resource.name"",""azure.resource.type"",""azure.subscription""],""Cloud"": [""cloud.account.id"",""cloud.platform"",""cloud.provider"",""cloud.region""],""Core"": {""Status"": [""Error"",""Info"",""None"",""Warning""]},""GCP"": [""gcp.instance.name"",""gcp.project.id"",""gcp.region"",""gcp.resource.type""],""Host"": [""dt.host_group.id"",""host.name""],""k8s"": [""k8s.cluster.name"",""k8s.container.name"",""k8s.namespace.name"",""k8s.node.name"",""k8s.pod.name"",""k8s.service.name"",""k8s.workload.kind"",""k8s.workload.name""],""log source"": [""/var/lib/foo.log"",""/var/log/syslog"",""Container Output""],""loglevel"": [""k8s""],""Process"": [""dt.process_group.detected_name""]}","{""AWS"": [""AWS region"",""AWS tags"",""AWS version"",""CloudWatch integration""],""Azure"": [""Azure Monitor integration"",""Azure region"",""Azure resource group name"",""Azure sku"",""Azure Subscription"",""Azure tags""],""Cloud / Infrastructure"": [""Cloud provider"",""Host group name"",""Host name""],""Core"": [""Security context"",""Tags""],""Core"": {""Alert status"": [""Critical"",""No alerts""]},""Core"": {""Code profiling"": [""Available"",""Not available""]},""GCP"": [""GCP region"",""GCP tags"",""Google Cloud Project"",""Operations Suite integration""],""Kubernetes"": [""Cluster"",""Namespace"",""Namespace label"",""Workload"",""Workload label""],""Supportability"": [""Observability signals"",""Technology""]}","{""$"": [""Revenue""],""Browser user agent"": [""Url domain"",""Url fragment"",""Url full"",""Url port"",""Url query"",""Url scheme"",""Url truncated path""],""Core"": {""Duration"": [""Duration max"",""Duration min""]},""Core"": {""Endpoint"": [""findJourneys"",""GetProduct"",""Images"",""JavaScript"",""JourneyService.checkDestination""]},""Core"": {""Request status"": [""Failure"",""Success""]},""Core"": {""Service"": [""CheckDestination"",""CustomerFrontendREST"",""EasyTravelBackendWebserver:8091"",""EasyTravelWebserver:8079"",""EasyTravelWebserver:9079""]},""Core"": {""Span kind"": [""Client"",""Consumer"",""Internal"",""Link"",""Producer"",""Server""]},""Core"": {""Span status"": [""Error"",""OK""]},""HTTP"": [""HTTP method"",""HTTP route"",""HTTP server name"",""HTTP status"",""Url path""],""HTTP headers"": [""Forwarded"",""Host"",""Referer"",""Soapaction"",""User-agent"",""X-dynatrace"",""X-dynatrace-tenant""],""Kubernetes"": [""Kubernetes cluster"",""Kubernetes container"",""Kubernetes namespace"",""Kubernetes node name"",""Kubernetes pod"",""Kubernetes service name"",""Kubernetes workload"",""Kubernetes workload kind""],""Process"": [""Process technology""],""Request attributes"": [""App.cart.Items.count"",""AuthenticationService"",""Category-hipster"",""CICS MQ Txns"",""CICS Task1D"",""Client's Destination"",""ClientIP"",""CreditCard/Payment"",""CreditCardType"",""Destination"",""Dollar"",""EasyTravel Amount"",""Easytravel Destination"",""EasyTravel Destination"",""EasyTravel Destination"",""EasyTravel JourneyId"",""EasyTravel User"",""HTTP POST parameter"",""Income"",""JourneyID"",""JourneyID"",""Loyalty status"",""LoyaltyStatus"",""MileageMobileFlag"",""MileageMsgContent"",""MqPathalogContent"",""Prest-MQ-Test"",""Revenue_Thangarajan"",""Revenue_ThangarajanM"",""Revenues"",""SessionId"",""SourceIP"",""Training"",""X-dynatrace""]}"
